agent,action,action_type,action_start,collab_start
/rosie19,"wait,none,manipulate,none,goto_m_s,supervise,none,goto_s_l,load,none,goto_l_m,goto_m_l,h_load,none,goto_l_m,manipulate,none,goto_m_s,supervise,none,goto_s_l,load,none,goto_l_m,manipulate,none,goto_m_s,supervise,none,goto_s_l,load,none,goto_l_m,manipulate,none,goto_m_s,supervise,none,goto_s_l,load,none,goto_l_m,manipulate,none,goto_m_s,supervise,none,goto_s_l,load,none,goto_l_m","local,local,local,local,local,local,local,local,collaborative,local,local,local,assisting,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local","56.73608660697937,246.01494717597961,246.80636191368103,254.8236165046692,255.79571223258972,263.80450558662415,269.8115680217743,270.8042531013489,276.81936407089233,298.7948248386383,299.7853488922119,307.8016321659088,315.8006751537323,321.80231285095215,322.8350450992584,330.80849981307983,338.837886095047,339.7941439151764,347.8213210105896,353.7911705970764,354.8420956134796,360.7995071411133,366.8114619255066,367.79675030708313,375.821063041687,383.84433937072754,384.83858370780945,392.79957914352417,398.8306541442871,399.792359828949,405.7921874523163,412.84982347488403,413.8073527812958,421.8668041229248,429.87236189842224,430.866140127182,438.8559515476227,444.8405294418335,445.8020579814911,451.7912223339081,457.79386258125305,458.7999370098114,466.85676074028015,474.8222110271454,475.83834409713745,483.7925133705139,489.80181646347046,490.8422737121582,496.85429334640503,504.80038046836853,505.8118498325348","292.8492805957794,315.8380904197693,360.8541069030762,406.82360553741455,451.81320905685425,498.86963415145874"
/rosie20,"wait,none,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4","local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local","57.29309368133545,247.976788520813,248.81134605407715,253.79382228851318,254.82396149635315,265.80997705459595,270.8088936805725,271.80662536621094,277.80126190185547,282.80626797676086,283.81193113327026,289.8005750179291,294.80199933052063,295.8001992702484,306.86423993110657,311.80079889297485,312.83600306510925,318.80236077308655,323.80590987205505,324.80059242248535,330.8664093017578,335.82108211517334,336.7962815761566,347.8631031513214,352.7905831336975,353.82143568992615,359.7964792251587,364.79899191856384,365.7974672317505,371.79123067855835,376.80567026138306,377.8536159992218,388.7853934764862,393.85270142555237,394.8457520008087,400.8184223175049,405.81736850738525,406.8260941505432,412.8499765396118,417.8259069919586,418.8053390979767,429.79093313217163,434.7887580394745,435.8588755130768,441.8090982437134,446.83575654029846,447.8420932292938,453.8196563720703,458.8004825115204,459.8123424053192,470.85147356987,475.78984212875366,476.7922921180725,482.8006727695465,487.80675768852234,488.79223585128784,494.809365272522,499.8061418533325,500.7944583892822",
/turtlebot36,"wait,none,patrol,none,goto_p1_p11,patrol,none,goto_p11_p1,patrol,none,goto_p1_p11,patrol,none,goto_p11_p1,patrol,none,goto_p1_p11,patrol,none,goto_p11_p1,patrol,none,goto_p1_p11,patrol,none,goto_p11_p1,patrol,none,goto_p1_p11,patrol,none,goto_p11_c4,h_check_connection,none,goto_c4_p11,goto_p11_p1,goto_p1_g,h_group,none,goto_g_p1,patrol,none,goto_p1_p11,goto_p11_c4,h_check_connection,none,goto_c4_p11,patrol,none,goto_p11_p1,patrol,none,goto_p1_p11","local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,assisting,local,local,local,local,assisting,local,local,local,local,local,local,assisting,local,local,local,local,local,local,local,local","94.63963031768799,250.97161841392517,251.79277062416077,257.7929742336273,258.79550790786743,267.78771781921387,273.8023245334625,274.85796546936035,283.8122909069061,289.7931458950043,290.8610374927521,299.7972900867462,305.8182647228241,306.8102140426636,315.8385879993439,321.8510754108429,322.79802942276,331.79287457466125,337.8243799209595,338.79167675971985,347.8220980167389,353.79642248153687,354.7980360984802,363.82330560684204,369.8147315979004,370.79522585868835,379.81700229644775,385.8529806137085,386.79522943496704,395.84485244750977,401.8088712692261,402.79688715934753,406.826199054718,411.79347133636475,412.8634362220764,416.7928354740143,425.8029487133026,434.82796835899353,439.7903742790222,440.8139045238495,449.85037088394165,455.7960376739502,456.7970380783081,465.7995512485504,469.79475450515747,474.79718351364136,475.8378875255585,479.84611535072327,485.8399431705475,486.8417134284973,495.79113388061523,501.8100414276123,502.79948711395264","406.8403902053833,434.8659017086029,469.85643577575684"
/turtlebot37,"wait,none,patrol,none,goto_p2_p10,patrol,none,goto_p10_p2,patrol,none,goto_p2_p10,goto_p10_c4,h_check_connection,none,goto_c4_p10,patrol,none,goto_p10_p2,patrol,none,goto_p2_p10,patrol,none,goto_p10_c4,h_check_connection,none,goto_c4_p10,goto_p10_p2,patrol,none,goto_p2_p10,patrol,none,goto_p10_p2,patrol,none,goto_p2_p10,patrol,none,goto_p10_p2,patrol","local,local,local,local,local,local,local,local,local,local,local,local,assisting,local,local,local,local,local,local,local,local,local,local,local,assisting,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local","99.16642165184021,274.9349434375763,275.7986726760864,281.8120758533478,282.78899025917053,295.8263680934906,301.8388864994049,302.8056254386902,315.8008098602295,321.79807806015015,322.7985053062439,335.7973737716675,340.7886233329773,345.79346680641174,346.8344943523407,351.7854244709015,357.79943656921387,358.8023371696472,371.8505804538727,377.78545808792114,378.7950532436371,391.86177372932434,397.8062033653259,398.8309998512268,403.85479617118835,409.80201482772827,410.81448101997375,415.8018147945404,428.85040831565857,434.79889011383057,435.7973690032959,448.8316385746002,454.78817486763,455.81511664390564,468.8235387802124,474.8316242694855,475.7902262210846,488.8702247142792,494.8626027107239,495.88060092926025,508.7868688106537","340.8388612270355,404.8175423145294"
/turtlebot38,"wait,none,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4","local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local","59.70870900154114,256.0002453327179,256.8016438484192,262.8131504058838,263.8276150226593,272.8100047111511,278.79647636413574,279.81848216056824,288.82720613479614,294.8453378677368,295.79062819480896,304.79692697525024,310.7998297214508,311.7917778491974,320.83790493011475,326.80400919914246,327.84048080444336,336.8079369068146,342.7918105125427,343.81552600860596,352.7910706996918,358.79937291145325,359.8276445865631,368.7849724292755,374.79725313186646,375.8442585468292,384.80345916748047,390.83842039108276,391.862099647522,400.85260486602783,406.80719089508057,407.79283237457275,416.807284116745,422.792192697525,423.78895688056946,432.7958447933197,438.8021836280823,439.7977361679077,448.80166840553284,454.7885935306549,455.8156406879425,464.80972480773926,470.7884283065796,471.79842233657837,480.8474717140198,486.8486957550049,487.79543828964233,496.78522992134094,502.8294653892517,503.80800557136536",
/turtlebot39,"wait,none,patrol,none,goto_p12_p9,patrol,none,goto_p9_c1,check_connection,none,goto_c1_p12,patrol,none,goto_p12_p9,patrol,none,goto_p9_c1,check_connection,none,goto_c1_p12,patrol,none,goto_p12_p9,patrol,none,goto_p9_c1,check_connection,none,goto_c1_p12,patrol,none,goto_p12_p9,patrol","local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local","96.89216709136963,290.09972167015076,290.82496976852417,296.80809807777405,297.8143222332001,315.811368227005,321.81202507019043,322.8471701145172,342.7913134098053,349.7895498275757,350.8325619697571,354.84248185157776,360.8561556339264,361.8014807701111,379.79451990127563,385.85339283943176,386.79760932922363,406.82665395736694,413.8078079223633,414.79444336891174,418.7988975048065,424.8514575958252,425.80325150489807,443.78707671165466,449.794597864151,450.79189109802246,470.842027425766,477.79189252853394,478.8341417312622,482.7973675727844,488.84279775619507,489.79208397865295,507.8637878894806","342.8694405555725,406.8403902053833,470.858553647995"
/turtlebot40,"wait,none,patrol,none,goto_p3_p8,patrol,none,goto_p8_g,group,none,goto_g_p3,patrol,none,goto_p3_p8,patrol,none,goto_p8_g,group,none,goto_g_p3,patrol,none,goto_p3_p8,patrol,none,goto_p8_g,group,none,goto_g_p3,patrol,none,goto_p3_p8,patrol,none,goto_p8_g,group,none,goto_g_p3,patrol,none,goto_p3_p8,patrol,none,goto_p8_g,group,none,goto_g_p3,patrol,none,goto_p3_p8,patrol","local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local","95.368821144104,266.94463634490967,267.8575611114502,273.8206660747528,274.81769824028015,286.79223227500916,292.81927514076233,293.8085253238678,300.79395508766174,306.855605840683,307.80768847465515,313.80429553985596,319.8066511154175,320.80133390426636,332.85725474357605,338.80029940605164,339.80296778678894,346.80527210235596,350.83311319351196,351.79568886756897,357.7997534275055,363.8102824687958,364.79664278030396,376.8794686794281,382.8658881187439,383.84489130973816,390.8028540611267,394.8612205982208,395.81233501434326,401.8318603038788,407.8167517185211,408.8337004184723,420.8276090621948,426.79501271247864,427.79381704330444,434.7993161678314,438.848571062088,439.7945647239685,445.84445428848267,451.81054520606995,452.79298186302185,464.7914733886719,470.8685796260834,471.8344795703888,478.79326343536377,482.8031415939331,483.7929804325104,489.79256939888,495.88911414146423,496.843275308609,508.8044185638428","302.83407950401306,346.8339743614197,390.8734841346741,434.8659017086029,478.83483505249023"
/turtlebot41,"wait,none,remove_object,none,goto_m_p5,patrol,none,goto_p5_c2,check_connection,none,goto_c2_p5,patrol,none,goto_p5_p7,patrol,none,goto_p7_p5,patrol,none,goto_p5_p7,patrol,none,goto_p7_p5,patrol,none,goto_p5_p7,patrol,none,goto_p7_p5,patrol,none,goto_p5_p7","local,local,collaborative,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local","89.61766290664673,281.79826164245605,282.7893126010895,362.8103737831116,363.7952194213867,373.79715609550476,379.8174583911896,380.8010971546173,385.8078649044037,392.8091332912445,393.86518573760986,398.8071858882904,404.8184218406677,405.8040819168091,415.80043053627014,421.79159021377563,422.88432025909424,432.79438376426697,438.80762124061584,439.8196005821228,449.7950875759125,455.8203229904175,456.833771944046,466.7955915927887,472.79774045944214,473.80045676231384,483.7909429073334,489.7989356517792,490.797874212265,500.8069086074829,506.83440947532654,507.8331367969513","282.800843000412,385.82875537872314"
/rosie21,"wait,none,harvest,none,goto_h1_h3,harvest,none,goto_h3_d,deliver,none,goto_d_h1,harvest,none,goto_h1_h3,harvest,none,goto_h3_d,deliver,none,goto_d_h1,harvest,none,goto_h1_h3,harvest,none,goto_h3_d,deliver,none,goto_d_h1,harvest,none,goto_h1_h3,harvest,none,goto_h3_d,deliver,none,goto_d_h1,harvest,none,goto_h1_h3,harvest,none,goto_h3_d,deliver,none,goto_d_h1,harvest,none,goto_h1_h3,harvest,none,goto_h3_d","local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local","95.36188316345215,270.94746828079224,271.80696630477905,276.79965829849243,277.8015375137329,289.83229207992554,294.8228497505188,295.83382654190063,301.79717111587524,306.85603523254395,307.8517806529999,313.8437867164612,318.83691811561584,319.7960000038147,331.8171555995941,336.84715604782104,337.7918612957001,343.81662464141846,348.79655265808105,349.7856731414795,355.7971947193146,360.796781539917,361.79560828208923,373.8323059082031,378.79265666007996,379.791540145874,385.7886474132538,390.83874344825745,391.7887239456177,397.80689764022827,402.78507709503174,403.847722530365,415.80088782310486,420.81309151649475,421.79733872413635,427.8344190120697,432.81009793281555,433.794935464859,439.8272671699524,444.8818895816803,445.8024022579193,457.7914493083954,462.8023006916046,463.79366064071655,469.7957365512848,474.79033279418945,475.78496170043945,481.82142639160156,486.79917550086975,487.83494210243225,499.80645179748535,504.8514859676361,505.79655861854553",
/rosie22,"wait,none,manipulate,none,goto_m_s,supervise,none,goto_s_m,manipulate,none,goto_m_s,supervise,none,goto_s_m,manipulate,none,goto_m_s,supervise,none,goto_s_m,manipulate,none,goto_m_l,h_load,none,goto_l_m,goto_m_s,supervise,none,goto_s_m,manipulate,none,goto_m_s,supervise,none,goto_s_m,manipulate,none,goto_m_s,supervise,none,goto_s_m,manipulate,none,goto_m_s,supervise,none,goto_s_m,manipulate","local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,assisting,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local","80.57500839233398,254.90910816192627,255.79618096351624,263.78732681274414,264.8023030757904,272.82505226135254,278.79369592666626,279.8089039325714,287.8175482749939,295.8385362625122,296.82156133651733,304.819864988327,310.8704297542572,311.7973816394806,319.8189628124237,327.84095644950867,328.7911756038666,336.79495215415955,342.81522274017334,343.81750893592834,351.7887189388275,359.81487226486206,360.80441522598267,368.7875485420227,374.7931969165802,375.8016109466553,383.8262391090393,391.8142433166504,397.79315209388733,398.83149456977844,406.8082447052002,414.79489398002625,415.80132126808167,423.7990388870239,429.79640197753906,430.7922067642212,438.8079688549042,446.7995958328247,447.80098938941956,455.81611490249634,461.8009946346283,462.79784297943115,470.8014223575592,478.7978138923645,479.8516688346863,487.8072307109833,493.7926959991455,494.8629558086395,502.79669857025146",368.850621461868
/rosie23,"wait,none,goto_h2_l,h_load,none,goto_l_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2","local,local,local,assisting,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local","98.59233474731445,281.912490606308,282.8027436733246,292.7911674976349,298.8372492790222,299.8369171619415,309.805908203125,314.8036525249481,315.7907044887543,326.79170846939087,331.7900197505951,332.7966010570526,338.81869173049927,343.8012099266052,344.79225039482117,350.8334894180298,355.81085729599,356.80840134620667,367.8076431751251,372.79199743270874,373.79487895965576,379.8179204463959,384.8389484882355,385.82958030700684,391.8147168159485,396.84151315689087,397.86497735977173,408.79753947257996,413.81461453437805,414.80776715278625,420.8279855251312,425.8333559036255,426.7953848838806,432.79613518714905,437.7970395088196,438.8082911968231,449.8047561645508,454.8062617778778,455.81694769859314,461.83508038520813,466.83175897598267,467.8655745983124,473.7960937023163,478.83450055122375,479.8487412929535,490.7914078235626,495.79150199890137,496.7910258769989,502.8049268722534,507.79770255088806,508.79749941825867",292.849280595779
/turtlebot42,"wait,none,wait,none,patrol,none,goto_p1_p11,patrol","local,local,local,local,local,local,local,local","98.09086346626282,289.92948484420776,291.0919349193573,490.853878736496,491.8012752532959,497.8339350223541,498.7918481826782,507.8300817012787",
/turtlebot43,"wait,none,patrol,none,goto_p2_p10,patrol,none,goto_p10_p2,patrol,none,goto_p2_p10,patrol,none,goto_p10_p2,patrol,none,goto_p2_p10,patrol,none,goto_p10_p2,patrol,none,goto_p2_p10,patrol,none,goto_p10_p2,patrol,none,goto_p2_p10,patrol,none,goto_p10_p2,patrol,none,goto_p2_p10","local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local","98.34672236442566,289.90165543556213,290.8058784008026,296.8575487136841,297.81480622291565,310.81480836868286,316.8310899734497,317.8482527732849,330.79554200172424,336.7971713542938,337.78704380989075,350.8631625175476,356.80879187583923,357.8000650405884,370.80430364608765,376.8057687282562,377.79816460609436,390.79894948005676,396.79081988334656,397.7935161590576,410.79795956611633,416.8008222579956,417.7938175201416,430.8014099597931,436.81804490089417,437.8283202648163,450.78989124298096,456.8048644065857,457.79430508613586,470.80190563201904,476.8317759037018,477.858206987381,490.8658676147461,496.843581199646,497.7934455871582",
/turtlebot44,"wait,none,goto_p4_g,h_group,none,goto_g_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,goto_p4_g,h_group,none,goto_g_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,goto_p4_g,h_group,none,goto_g_p4,patrol,none,goto_p4_p6,patrol","local,local,local,assisting,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,assisting,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,assisting,local,local,local,local,local,local","96.28803730010986,292.9114935398102,293.807133436203,302.80594182014465,307.8152275085449,308.792049407959,317.78510642051697,323.8060517311096,324.7915506362915,333.8101019859314,339.79689478874207,340.8190383911133,349.83957624435425,355.79753947257996,356.8091208934784,365.8309442996979,371.7915720939636,372.79232931137085,381.83354139328003,390.8583779335022,395.8176758289337,396.8428010940552,405.7910158634186,411.7901849746704,412.787504196167,421.86726808547974,427.79401445388794,428.78989911079407,437.83817052841187,443.7875328063965,444.7988576889038,453.7907431125641,459.9055562019348,460.81180810928345,469.79525327682495,478.7981507778168,483.8832018375397,484.790718793869,493.84993410110474,499.8276045322418,500.83902049064636,509.80251836776733","302.83407950401306,390.8734841346741,478.83483505249023"
/turtlebot45,"wait,none,patrol,none,goto_p12_p9,patrol,none,goto_p9_p12,patrol,none,goto_p12_p9,patrol,none,goto_p9_p12,goto_p12_c4,h_check_connection,none,goto_c4_p12,patrol,none,goto_p12_p9,patrol,none,goto_p9_p12,patrol,none,goto_p12_p9,patrol,none,goto_p9_p12","local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,assisting,local,local,local,local,local,local,local,local,local,local,local,local,local,local","96.28240203857422,290.9910840988159,291.7989909648895,297.796489238739,298.7870078086853,316.8430449962616,322.83551049232483,323.88746881484985,341.7946677207947,347.79371786117554,348.79701471328735,366.82310795783997,372.8326234817505,373.82578921318054,391.8624382019043,399.7903702259064,404.81890773773193,405.79504323005676,413.8013780117035,419.8206720352173,420.8116521835327,438.85813307762146,444.79557609558105,445.851514339447,463.7994134426117,469.80092191696167,470.8425087928772,488.8707277774811,494.86327958106995,495.88090896606445",399.822728633881
/turtlebot46,"wait,none,patrol,none,goto_p3_p8,patrol,none,goto_p8_p3,patrol,none,goto_p3_p8,patrol,none,goto_p8_g,h_group,none,goto_g_p8,goto_p8_p3,patrol,none,goto_p3_p8,patrol,none,goto_p8_p3,patrol,none,goto_p3_p8,patrol,none,goto_p8_p3,patrol,none,goto_p3_p8,patrol,none,goto_p8_p3,patrol,none,goto_p3_p8,patrol,none,goto_p8_p3,patrol","local,local,local,local,local,local,local,local,local,local,local,local,local,local,assisting,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local","97.46616649627686,258.9336862564087,259.8593647480011,265.8292932510376,266.8302414417267,278.78651881217957,284.8067989349365,285.8366105556488,297.79678893089294,303.8052999973297,304.84967851638794,316.831494808197,322.79898953437805,323.8074953556061,330.828577041626,335.81070470809937,336.84762167930603,343.801646232605,355.7961039543152,361.8017976284027,362.81467723846436,374.793505191803,380.80934977531433,381.8340289592743,393.7988567352295,399.7913672924042,400.79474329948425,412.8152313232422,418.8058030605316,419.79671573638916,431.8345592021942,437.8286175727844,438.8584544658661,450.85840034484863,456.82592248916626,457.791939496994,469.8379108905792,475.8053250312805,476.79627990722656,488.7989959716797,494.80988121032715,495.7918643951416,507.7982084751129",330.866796970367
/turtlebot47,"wait,none,goto_m_p5,patrol,none,goto_p5_p7,patrol,none,goto_p7_p5,patrol,none,goto_p5_p7,patrol,none,goto_p7_p5,patrol,none,goto_p5_p7,patrol,none,goto_p7_p5,patrol,none,goto_p5_p7,patrol,none,goto_p7_p5,patrol,none,goto_p5_p7,patrol,none,goto_p7_p5,patrol,none,goto_p5_p7,patrol,none,goto_p7_p5,patrol,none,goto_p5_p7","local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local","93.54101204872131,282.9622919559479,283.8126268386841,293.80750012397766,299.7860608100891,300.83466720581055,310.7939238548279,316.80043053627014,317.7965762615204,327.841392993927,333.8031585216522,334.7868390083313,344.80436086654663,350.8338272571564,351.83379912376404,361.84387278556824,367.83636116981506,368.7992613315582,378.818466424942,384.80273509025574,385.8300585746765,395.80096077919006,401.7898693084717,402.79279708862305,412.81697511672974,418.79340624809265,419.8000922203064,429.7915508747101,435.832896232605,436.86019682884216,446.7958199977875,452.78559708595276,453.803738117218,463.79430508613586,469.8063826560974,470.802383184433,480.79859924316406,486.80576825141907,487.8095579147339,497.7911100387573,503.8175187110901,504.8009452819824",
/rosie24,"wait,none,harvest,none,goto_h1_h3,harvest,none,goto_h3_d,deliver,none,goto_d_h1,harvest,none,goto_h1_h3,harvest,none,goto_h3_d,deliver,none,goto_d_h1,harvest,none,goto_h1_h3,harvest,none,goto_h3_d,deliver,none,goto_d_h1,harvest,none,goto_h1_h3,harvest,none,goto_h3_d,deliver,none,goto_d_h1,harvest,none,goto_h1_h3,harvest,none,goto_h3_d,deliver,none,goto_d_h1,harvest,none,goto_h1_h3","local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local","98.21852540969849,285.94999527931213,286.85841965675354,291.7993199825287,292.8044910430908,304.7977981567383,309.80937004089355,310.8049247264862,316.83181643486023,321.8085126876831,322.785516500473,328.8413951396942,333.81041169166565,334.8465967178345,346.8347706794739,351.78903698921204,352.8315408229828,358.7997155189514,363.7966260910034,364.8060939311981,370.80075550079346,375.7892475128174,376.79595398902893,388.8026101589203,393.81860756874084,394.846072435379,400.8527600765228,405.80671072006226,406.82709765434265,412.85039734840393,417.797883272171,418.8555908203125,430.80174827575684,435.80893754959106,436.85064339637756,442.7871506214142,447.84791827201843,448.8048086166382,454.7943277359009,459.83964586257935,460.8004038333893,472.7980647087097,477.8232545852661,478.7866244316101,484.88830280303955,489.7930872440338,490.79180455207825,496.84389448165894,501.80186891555786,502.7971382141113",
/rosie25,"wait,none,none,none,goto_m_s,supervise,none,goto_s_l,load,none,goto_l_m,manipulate,none,goto_m_s,supervise,none,goto_s_l,load,none,goto_l_m,manipulate,none,goto_m_s,supervise,none,goto_s_l,load,none,goto_l_m,manipulate,none,goto_m_s,supervise,none,goto_s_l,load,none,goto_l_m,manipulate,none,goto_m_s,supervise,none,goto_s_l,load,none,goto_l_m","local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local","98.77047657966614,283.93336367607117,284.7895166873932,292.8292121887207,293.8348505496979,301.8098964691162,307.8114893436432,308.7976200580597,314.87964367866516,321.8622405529022,322.8390533924103,330.82274556159973,338.79283475875854,339.8034074306488,347.82287669181824,353.8466749191284,354.84281039237976,360.85649251937866,368.8394498825073,369.83460879325867,377.82119512557983,385.83051562309265,386.81652092933655,394.8489623069763,400.8050456047058,401.8115372657776,407.7966549396515,413.7874712944031,414.80176877975464,422.7983543872833,430.7928857803345,431.79062843322754,439.79498744010925,445.80276370048523,446.81804394721985,452.8235173225403,459.81575441360474,460.83324670791626,468.8013319969177,476.80128955841064,477.792200088501,485.7973358631134,491.8079001903534,492.8217804431915,498.7957088947296,504.8014576435089,505.78606128692627","315.8380904197693,362.832218170166,407.84015917778015,453.90503883361816,498.82695174217224"
/rosie26,"wait,none,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,goto_h2_l,h_load,none,goto_l_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2","local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,assisting,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local","81.25473737716675,280.9231379032135,281.84394240379333,286.78554105758667,287.8025209903717,298.7943584918976,303.78886795043945,304.8640284538269,310.87092995643616,315.8438527584076,316.80075669288635,322.83597230911255,327.8758192062378,328.7921221256256,339.8256070613861,344.80195450782776,345.79930806159973,351.7958252429962,356.7854862213135,357.8047869205475,363.8106224536896,368.8398721218109,369.81534075737,380.8015651702881,385.85374188423157,386.8513946533203,392.80989599227905,397.8072118759155,398.83176589012146,404.81936407089233,414.86655259132385,420.8321096897125,421.86775732040405,431.79775762557983,436.79759645462036,437.82895040512085,448.8054931163788,453.7871799468994,454.8127670288086,460.7964119911194,465.797048330307,466.79605865478516,472.80066752433777,477.7925262451172,478.7984766960144,489.7935597896576,494.79405522346497,495.8894295692444,501.84269189834595,506.82509565353394,507.7986783981323",414.870506286621
