agent,action,action_type,action_start,collab_start
/rosie0,"wait,none,harvest,none,goto_h1_h3,harvest,none,goto_h3_d,deliver,none,goto_d_h1,harvest,none,goto_h1_h3,harvest,none,goto_h3_d,deliver,none,goto_d_h1,harvest,none,goto_h1_h3,harvest,none,goto_h3_l,h_load,none,goto_l_h3,goto_h3_d,deliver,none,goto_d_l,h_load,none,goto_l_d","local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,assisting,local,local,local,local,local,local,assisting,local,local","0.6897938251495361,19.92357611656189,20.9058678150177,25.90528416633606,26.90611958503723,33.485485315322876,37.90617060661316,38.905991554260254,41.58023929595947,45.905688762664795,46.90675449371338,53.023377418518066,57.90580105781555,58.90609288215637,66.65018582344055,70.90602421760559,71.90589189529419,74.35206818580627,78.90584778785706,79.90589094161987,85.39961075782776,89.90599489212036,90.9067497253418,98.9697847366333,103.90641522407532,104.90648484230042,116.37871623039246,121.90562438964844,122.90661406517029,135.47768831253052,138.75885033607483,142.90666365623474,143.9063959121704,153.90866351127625,159.90548086166382,160.90544748306274","116.6522650718689,154.0333445072174"
/rosie1,"wait,none,h_remove_object,none,goto_m_s,supervise,none,goto_s_l,load,none,goto_l_m,manipulate,none,goto_m_s,supervise,none,goto_s_l,load,none,goto_l_m,manipulate","local,local,assisting,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local","2.221210241317749,21.924569606781006,22.90600085258484,93.22397780418396,93.90606355667114,97.9543764591217,103.90696263313293,104.90571999549866,107.98439049720764,121.9067554473877,122.90675663948059,127.48632073402405,134.90634655952454,135.90663075447083,139.64542388916016,144.90628719329834,145.90638756752014,148.86366152763367,159.90676832199097,160.90623450279236,165.3695878982544","23.045927047729492,116.6522650718689,154.0333445072174"
/rosie2,"wait,none,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4,harvest,none,goto_h4_d,deliver,none,goto_d_h2,harvest,none,goto_h2_h4","local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local","0.9162368774414062,20.929240703582764,21.906111001968384,26.90549874305725,27.906009912490845,34.570449352264404,38.9067440032959,39.905818700790405,45.384838342666626,49.9056293964386,50.90628671646118,56.224435329437256,60.90605807304382,61.90597748756409,72.78305220603943,76.90588021278381,77.90594363212585,83.60602641105652,87.90581774711609,88.90594291687012,94.0102927684784,98.90608072280884,99.90593695640564,107.38012957572937,111.9058301448822,112.90593981742859,115.26463031768799,119.90573120117188,120.9059157371521,126.05939722061157,130.90656161308289,131.90670537948608,139.05533170700073,143.90679144859314,144.90668535232544,147.17250442504883,151.90606355667114,152.90593028068542,157.97621154785156,162.90602564811707,163.90599370002747",
/turtlebot1,"wait,none,patrol,none,goto_p1_p11,patrol,none,goto_p11_p1,patrol,none,goto_p1_p11,patrol,none,goto_p11_p1,patrol,none,goto_p1_g,h_group,none,goto_g_p1,goto_p1_p11,patrol,none,goto_p11_g,h_group,none,goto_g_p1,patrol,none,goto_p1_p11,patrol","local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,assisting,local,local,local,local,local,local,assisting,local,local,local,local,local,local","1.312645673751831,20.92315649986267,21.90595507621765,27.905558347702026,28.906444787979126,38.471211433410645,43.90638852119446,44.906044006347656,52.96087121963501,58.90668511390686,59.90742015838623,68.28738498687744,73.9055449962616,74.90610337257385,83.44977617263794,88.90626859664917,89.9066698551178,98.65941262245178,102.90644860267639,103.90588402748108,111.2263457775116,124.9057331085205,130.9057331085205,131.90607476234436,139.88608980178833,144.90679955482483,145.90594935417175,153.1698887348175,158.90609502792358,159.9062304496765,169.4723596572876","98.82532525062561,139.90994358062744"
/turtlebot2,"wait,none,patrol,none,goto_p2_p10,patrol,none,goto_p10_p2,patrol,none,goto_p2_p10,patrol,none,goto_p10_p2,patrol,none,goto_p2_p10,patrol,none,goto_p10_p2,patrol,none,goto_p2_p10,patrol,none,goto_p10_p2","local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local","1.4967434406280518,20.928526401519775,21.906532049179077,27.90632653236389,28.90683126449585,44.759132862091064,49.906177282333374,50.90554070472717,62.98373198509216,68.90585112571716,69.90585899353027,82.10093760490417,87.90649843215942,88.90522265434265,102.68019509315491,107.90600752830505,108.90579771995544,120.97720170021057,126.90588355064392,127.90571570396423,144.76931405067444,149.90649843215942,150.9057915210724,162.789870262146,167.90564727783203,168.90574955940247",
/turtlebot3,"wait,none,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,patrol,none,goto_p6_p4,patrol,none,goto_p4_p6,goto_p6_c3,h_check_connection,none,goto_c3_p6","local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,local,assisting,local,local","2.0608456134796143,21.935709476470947,22.905548095703125,28.90713906288147,29.90641474723816,39.3974711894989,44.905571937561035,45.906261920928955,54.35713219642639,59.90678858757019,60.90620422363281,69.3621575832367,74.90562629699707,75.90599942207336,84.16211557388306,89.9062077999115,90.90611171722412,99.28202104568481,104.90722870826721,105.90597605705261,114.17649817466736,119.90614938735962,120.90661406517029,129.2594132423401,134.90552163124084,135.9059031009674,144.2703239917755,149.90571069717407,150.90629887580872,159.48289704322815,164.07804226875305,168.90676951408386,169.9058277606964",164.140563249588
/turtlebot4,"wait,none,patrol,none,goto_p12_p9,patrol,none,goto_p9_g,h_group,none,goto_g_p9,goto_p9_c1,check_connection,none,goto_c1_p12,patrol,none,goto_p12_c4,h_check_connection,none,goto_c4_p12,goto_p12_p9,patrol,none,goto_p9_c1,check_connection,goto_c1_p12","local,local,local,local,local,local,local,local,assisting,local,local,local,collaborative,local,local,local,local,local,assisting,local,local,local,local,local,local,collaborative,local","2.349130630493164,21.924124002456665,22.906205415725708,28.908005952835083,29.90678095817566,42.40716338157654,47.905877351760864,48.906044721603394,55.32835674285889,59.905561208724976,60.906962394714355,65.96391248703003,80.39368653297424,90.90759825706482,91.90567564964294,95.87332582473755,100.90587067604065,101.90665030479431,110.17447900772095,114.90587639808655,115.90623021125793,122.75356769561768,137.9305875301361,143.90564918518066,144.9056475162506,158.99776697158813,171.140563249588","55.37431216239929,84.12250995635986,110.33562016487122,164.140563249588"
/turtlebot5,"wait,none,patrol,none,goto_p3_p8,patrol,none,goto_p8_g,group,none,goto_g_p3,patrol,none,goto_p3_p8,patrol,none,goto_p8_g,group,none,goto_g_p3,patrol,none,goto_p3_p8,patrol,none,goto_p8_g,group,none,goto_g_p3,patrol,none,goto_p3_p8,patrol","local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,collaborative,local,local,local,local,local,local","2.7297685146331787,21.92468810081482,22.906344413757324,28.905911207199097,29.905800580978394,41.9561562538147,47.90678644180298,48.90685486793518,53.58147716522217,58.907092332839966,59.90620255470276,67.02244520187378,72.90592956542969,73.90646553039551,85.36505794525146,90.90711259841919,91.90631651878357,96.56122279167175,101.90732145309448,102.9056556224823,109.88399362564087,114.9063012599945,115.90584063529968,127.06033301353455,132.90592336654663,133.90610241889954,138.69734477996826,143.9070963859558,144.90690875053406,151.7701780796051,156.90602564811707,157.90644311904907,169.0665102005005","55.37431216239929,98.82532525062561,139.90994358062744"
/turtlebot6,"wait,none,remove_object,none,goto_m_p5,goto_p5_c3,h_check_connection,none,goto_c3_p5,patrol,none,goto_p5_c2,check_connection,none,goto_c2_p5,patrol,none,goto_p5_p7,patrol,none,goto_p7_p5,patrol,none,goto_p5_p7,patrol","local,local,collaborative,local,local,local,assisting,local,local,local,local,local,collaborative,local,local,local,local,local,local,local,local,local,local,local,local","2.6392922401428223,21.929906606674194,22.906743049621582,66.57937574386597,66.9059329032898,75.65449261665344,83.95107650756836,88.90652799606323,89.90558195114136,96.68766808509827,101.90563488006592,102.90670442581177,107.39782094955444,116.90594720840454,117.90588283538818,121.28027319908142,126.90636324882507,127.90678238868713,137.6053295135498,142.9057924747467,143.90699005126953,152.31378531455994,157.90567994117737,158.90681910514832,167.6996831893921","23.045927047729492,84.12250995635986,110.33562016487122"
